iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,9878,0.3,6,0,20,374,3.995,10
1,21724,0.35000002,0,5,6,389,4.95,10
2,34838,0.40000004,5,5,17,373,5.655,11
3,49168,0.45000005,0,5,13,382,6.495,12
4,65643,0.50000006,0,9,12,379,7.425,12
5,83741,0.5500001,0,6,19,375,8.26,14
6,102943,0.6000001,6,0,7,387,9.09,14
7,123855,0.6500001,0,5,6,389,9.69,15
8,146652,0.7000001,8,0,8,384,10.52,15
9,172534,0.7500001,0,5,18,377,11.265,17
10,200186,0.80000013,0,4,7,389,12.14,19
11,201007,0.85000014,0,0,0,0,0.0,0
12,201816,0.90000015,0,0,0,0,0.0,0
13,236787,0.95000017,2,2,14,382,14.505,21
14,246784,0.3,4,0,11,385,4.03,10
15,257499,0.35000002,0,6,20,374,4.91,10
