iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,5397212,0.6199997,0,4,17,379,9.475,14
1,8474871,0.32999998,0,5,9,386,4.43,9
2,6784279,0.7499996,4,0,8,388,11.19,16
3,5715014,0.56999975,6,0,6,388,8.625,14
4,3211245,0.3,0,5,10,385,3.955,8
5,1553097,0.69999963,0,6,4,390,10.31,15
6,7232275,0.39999992,0,6,26,368,5.92,11
7,3986571,0.55999976,5,0,11,384,8.5,13
8,2268596,0.88999945,0,0,0,0,0.0,0
9,8394805,0.79999954,5,0,13,382,12.235,18
10,419820,0.44999987,5,0,5,390,6.67,12
11,8222219,0.45999986,6,0,5,389,7.145,12
12,7842899,0.9499994,4,0,18,378,16.26,20
13,5047489,0.58999974,5,0,11,384,9.125,14
14,1586285,0.7399996,5,0,15,380,10.995,17
15,5412549,0.6499997,0,5,23,372,9.7,15
16,768086,0.4099999,6,0,8,386,6.265,12
17,3573102,0.9399994,0,5,14,381,16.25,20
18,6940433,0.5199998,6,0,6,388,8.105,13
19,2462255,0.6199997,5,0,14,381,9.32,14
20,6369807,0.58999974,0,6,9,385,8.88,14
21,3275373,0.43999988,5,0,3,392,6.64,12
22,7647026,0.68999964,0,0,0,0,0.0,0
23,5231214,0.3,0,4,14,382,4.055,9
24,7198458,0.9399994,0,5,15,380,16.065,20
25,6551031,0.9199994,0,5,9,386,15.6,20
26,4093838,0.76999956,0,4,14,382,11.455,17
27,8939907,0.58999974,5,0,11,384,8.93,16
28,1152252,0.46999985,6,0,8,386,7.295,12
29,8335168,0.67999965,7,0,7,386,10.17,17
30,383460,0.38999993,5,0,12,383,5.605,10
31,294107,0.87999946,6,0,17,377,14.49,19
32,6026305,0.5099998,5,0,11,384,7.68,13
33,7624452,0.5399998,6,0,4,390,8.135,13
34,6775599,0.8599995,0,0,0,0,0.0,0
35,2112480,0.5199998,7,0,4,389,7.745,12
36,132481,0.6199997,0,5,17,378,9.26,15
37,7848526,0.36999995,4,0,7,389,5.225,11
38,9571052,0.6199997,6,0,13,381,9.335,15
39,2865617,0.9699994,0,0,0,0,0.0,0
40,5755090,0.6499997,6,0,5,389,9.67,15
41,8996719,0.68999964,0,6,11,383,10.155,16
42,4526461,0.88999945,6,0,11,383,14.655,19
43,993793,0.9299994,0,0,0,0,0.0,0
44,7579420,0.4199999,6,0,10,384,6.27,11
45,6016447,0.48999983,3,2,6,389,7.595,15
46,3000753,0.5199998,4,0,14,382,7.865,12
47,2366960,0.4199999,0,7,13,380,6.25,12
48,3175934,0.9199994,0,0,0,0,0.0,0
49,5470681,0.7499996,0,4,17,379,11.09,17
50,7486145,0.8499995,0,6,12,382,13.665,19
51,8370163,0.8499995,0,0,0,0,0.0,0
52,2187797,0.65999967,7,0,17,376,9.785,14
53,8273171,0.57999974,4,0,15,381,8.815,14
54,9436137,0.32999998,0,6,12,382,4.475,10
55,3811741,0.77999955,4,0,17,379,11.835,17
56,785417,0.44999987,6,0,2,392,6.825,12
57,5849492,0.8099995,6,0,10,384,12.465,18
58,1539992,0.65999967,0,4,16,380,9.705,14
59,6596293,0.38999993,6,0,6,388,5.81,10
60,5930798,0.31,0,5,20,375,4.11,8
61,8398475,0.8099995,4,0,12,384,12.4,18
62,594294,0.7399996,6,0,12,382,10.995,16
63,6089095,0.6199997,6,0,9,385,9.22,14
64,8421290,0.98999935,0,0,0,0,0.0,0
65,8217720,0.44999987,5,0,7,388,6.81,11
66,6514522,0.8599995,5,0,17,378,13.835,19
67,7959484,0.5999997,4,0,15,381,9.07,14
68,8710285,0.88999945,0,0,0,0,0.0,0
69,409467,0.4299999,6,0,7,387,6.57,11
70,2673620,0.46999985,0,5,18,377,7.065,11
71,4357274,0.6199997,6,0,3,391,9.33,14
72,6252250,0.88999945,0,6,11,383,14.765,19
73,2640983,0.38999993,0,5,10,385,5.81,10
74,5532661,0.8599995,0,5,9,386,13.745,19
75,4998472,0.48999983,7,0,10,383,7.485,12
76,8324873,0.66999966,4,0,12,384,9.85,14
77,6152155,0.7299996,5,0,17,378,10.75,16
78,5537307,0.9599994,0,0,0,0,0.0,0
79,7811618,0.90999943,0,3,14,383,15.355,20
80,7991210,0.7399996,0,0,0,0,0.0,0
81,263602,0.9499994,0,0,0,0,0.0,0
82,4913540,0.32999998,4,0,8,388,4.705,10
83,9038443,0.7499996,0,6,14,380,11.165,16
84,7042277,0.7099996,6,0,7,387,10.565,16
85,2959605,0.4199999,0,6,18,376,6.355,12
86,6620175,0.4299999,9,0,5,386,6.47,11
87,1425152,0.39999992,5,0,8,387,5.855,10
88,2288395,0.99999934,0,0,0,0,0.0,0
89,3393923,0.76999956,0,0,0,0,0.0,0
90,7245794,0.4299999,6,0,7,387,6.38,11
91,9400982,0.8499995,0,4,16,380,13.485,19
92,6472499,0.76999956,8,0,13,379,11.58,17
93,2768708,0.6499997,7,0,3,390,9.755,14
94,2087143,0.43999988,5,1,2,392,6.63,12
95,5980812,0.39999992,0,4,13,383,5.935,10
96,2221026,0.7099996,5,0,11,384,10.64,16
97,8858829,0.39999992,8,0,10,382,5.93,12
98,9162397,0.39999992,6,0,8,386,5.825,11
99,8056494,0.87999946,0,0,0,0,0.0,0
100,4222963,0.34999996,0,4,17,379,5.055,10
101,165729,0.66999966,6,0,6,388,10.005,15
102,5281736,0.38999993,7,0,3,390,5.665,10
103,5825727,0.88999945,0,0,0,0,0.0,0
104,3780089,0.86999947,0,0,0,0,0.0,0
105,7933461,0.5499998,2,1,10,387,8.235,13
106,8860140,0.4099999,7,0,11,382,6.085,11
107,8297337,0.6199997,5,0,9,386,9.265,14
108,6419970,0.69999963,0,6,9,385,10.415,16
109,7116778,0.8199995,6,0,10,384,12.845,18
110,1097061,0.34999996,0,5,10,385,4.98,10
111,3822507,0.79999954,5,0,12,383,12.38,17
112,5270933,0.36999995,0,6,10,384,5.295,10
113,4932992,0.97999936,4,0,18,378,16.85,20
114,5463053,0.7399996,0,4,14,382,11.015,16
115,1276391,0.7299996,3,0,16,381,10.89,16
116,1652728,0.8299995,0,7,14,379,12.91,18
117,3527104,0.99999934,0,0,0,0,0.0,0
118,6811062,0.79999954,0,4,15,381,12.185,17
119,2702886,0.5299998,5,0,8,387,7.935,13
120,8416564,0.8299995,0,6,19,375,12.855,20
121,9499158,0.48999983,4,1,10,385,7.22,12
122,7158735,0.88999945,4,1,14,381,14.68,20
123,1776255,0.4299999,5,0,10,385,6.445,12
124,4841926,0.9699994,0,0,0,0,0.0,0
125,2775335,0.7399996,0,0,0,0,0.0,0
126,9177280,0.43999988,5,0,12,383,6.515,11
127,9498700,0.47999984,6,0,5,389,7.255,13
128,9209977,0.5099998,0,5,12,383,7.655,12
129,440667,0.48999983,0,4,16,380,7.46,12
130,3768440,0.8099995,0,0,0,0,0.0,0
131,5096357,0.67999965,5,0,10,385,10.275,15
132,6394921,0.6299997,5,0,8,387,9.36,14
133,1021328,0.86999947,4,0,17,379,14.065,19
134,2611524,0.32999998,5,0,7,388,4.685,9
135,5669126,0.45999986,0,5,8,387,7.13,12
136,5635641,0.38999993,0,6,13,381,5.485,11
137,7770483,0.8399995,5,0,21,374,13.405,20
138,5480896,0.76999956,7,0,24,369,11.585,17
139,8506280,0.9699994,0,6,12,382,16.615,20
140,5499498,0.8099995,4,0,12,384,12.62,18
141,7150668,0.87999946,4,1,24,371,14.36,20
142,8880680,0.5299998,0,0,0,0,0.0,0
143,220719,0.8599995,0,0,0,0,0.0,0
144,2048207,0.36999995,6,0,8,386,5.335,10
145,7479022,0.9699994,0,0,0,0,0.0,0
146,1307996,0.78999954,3,3,18,376,12.04,17
147,3874845,0.32,5,0,7,388,4.26,10
148,2833344,0.77999955,0,5,13,382,11.675,17
149,7954553,0.58999974,5,0,6,389,8.895,14
150,1185645,0.5399998,7,0,4,389,8.29,14
151,1399170,0.34999996,0,6,11,383,4.965,10
