iteration,timestamp,p,true_positives,false_negatives,false_positives,true_negatives,avg_degree,max_degree
0,11938078,0.36999995,8,0,14,378,5.17,11
1,13074779,0.68999964,6,0,4,390,10.43,15
2,8202639,0.7099996,0,0,0,0,0.0,0
3,313173,0.8599995,2,2,17,379,13.37,20
4,6465429,0.4099999,5,0,10,385,6.0,11
5,2083197,0.7199996,7,0,10,383,10.785,17
6,6590340,0.5199998,6,0,9,385,7.775,13
7,7120605,0.9299994,0,5,11,384,14.49,20
8,3877077,0.78999954,4,0,24,372,12.115,17
9,6162099,0.86999947,0,0,0,0,0.0,0
10,1498618,0.31,6,0,8,386,4.145,9
11,4120016,0.38999993,4,0,16,380,5.625,11
12,5455503,0.8099995,3,0,14,383,12.345,18
13,6637808,0.57999974,6,0,8,386,8.67,13
14,1985843,0.5499998,0,5,9,386,8.2,12
15,3260905,0.3,6,0,17,377,4.04,10
16,9229330,0.8399995,5,0,15,380,12.94,19
17,4591673,0.77999955,0,7,7,386,11.76,17
18,7415157,0.5399998,5,0,11,384,7.935,12
19,19969395,0.44999987,0,5,19,376,6.585,12
20,19506427,0.67999965,6,0,11,383,10.28,16
21,1875355,0.9599994,1,1,19,379,14.73,20
22,3775116,0.6299997,0,8,17,375,9.34,14
23,1976444,0.5299998,5,0,8,387,7.97,13
24,4647982,0.8099995,0,7,14,379,12.19,18
25,1940116,0.44999987,0,5,12,383,6.535,10
26,4516360,0.7299996,0,4,17,379,11.065,16
27,7428198,0.5499998,0,7,11,382,8.285,15
28,20555857,0.9599994,0,0,0,0,0.0,0
29,3358130,0.5199998,0,7,8,385,7.745,12
30,803182,0.3,6,0,7,387,4.19,9
31,530461,0.5499998,7,0,6,387,8.16,13
32,2268061,0.46999985,0,8,16,376,6.775,11
33,13737580,0.5299998,6,0,8,386,7.99,12
34,630882,0.67999965,0,5,11,384,10.435,16
35,9638862,0.5199998,0,6,11,383,7.77,12
36,299223,0.8299995,0,5,14,381,12.805,18
37,20718490,0.32,7,0,9,384,4.33,9
38,1959218,0.48999983,9,0,5,386,7.285,12
39,4348498,0.6199997,4,0,11,385,9.28,15
40,1575943,0.46999985,4,0,20,376,6.835,12
41,13779045,0.55999976,0,5,18,377,8.3,13
42,1736341,0.7599996,7,0,9,384,11.53,17
43,12606722,0.88999945,0,5,12,383,13.48,19
44,10512354,0.58999974,5,0,7,388,8.8,14
45,9457874,0.34999996,6,2,11,381,5.105,9
46,13450625,0.9199994,0,6,16,378,14.205,19
47,18330745,0.4099999,6,0,4,390,6.06,12
48,8427065,0.77999955,0,4,8,388,11.79,18
49,12741305,0.37999994,6,0,12,382,5.23,11
50,6285924,0.97999936,0,0,0,0,0.0,0
51,8977037,0.6199997,5,0,17,378,9.5,14
52,18393018,0.47999984,7,0,4,389,7.225,14
53,3430443,0.6399997,0,4,15,381,9.85,15
54,683333,0.76999956,8,0,5,387,11.67,17
55,56334,0.4199999,0,5,6,389,6.075,14
56,13035125,0.65999967,4,1,4,391,9.81,16
57,8862885,0.5299998,8,0,5,387,8.08,14
58,10487275,0.56999975,0,3,12,385,8.555,13
59,12928930,0.6399997,0,0,0,0,0.0,0
60,19509849,0.76999956,0,0,0,0,0.0,0
61,20088795,0.56999975,0,7,10,383,8.575,15
62,11112953,0.34999996,8,0,12,380,4.96,10
63,18056390,0.9199994,0,0,0,0,0.0,0
64,7768636,0.9599994,0,0,0,0,0.0,0
65,11548837,0.69999963,0,4,13,383,10.46,16
66,11076033,0.32999998,0,6,17,377,4.58,10
67,5656425,0.9299994,6,0,15,379,14.51,20
68,2546785,0.9199994,0,4,11,385,14.15,20
69,2724764,0.66999966,6,0,10,384,9.945,15
70,4691911,0.8299995,3,0,14,383,12.535,18
71,9249402,0.8499995,6,0,12,382,13.24,18
72,3230805,0.99999934,0,0,0,0,0.0,0
73,94090,0.5099998,0,6,18,376,7.635,13
74,18375252,0.45999986,7,0,9,384,6.8,11
75,21547040,0.4299999,0,7,9,384,6.38,10
76,4126990,0.39999992,1,8,26,365,5.635,11
77,11406454,0.57999974,5,0,6,389,8.62,14
78,9549639,0.4299999,5,2,4,389,6.055,10
79,8902288,0.56999975,0,7,11,382,8.535,14
80,20943428,0.55999976,9,0,6,385,8.24,13
81,7958131,0.37999994,6,0,5,389,5.575,10
82,9289239,0.86999947,0,7,14,379,13.42,19
83,1491222,0.3,8,0,11,381,4.0,9
84,2866034,0.9699994,0,0,0,0,0.0,0
85,1362357,0.7399996,0,5,19,376,11.225,16
86,18242166,0.9399994,3,1,11,385,14.73,20
87,19029222,0.98999935,0,0,0,0,0.0,0
88,2306251,0.5499998,3,0,13,384,8.315,14
89,17317878,0.86999947,4,0,19,377,13.55,19
90,670341,0.7399996,0,6,13,381,11.09,16
91,2613619,0.43999988,6,0,15,379,6.465,11
92,19650049,0.78999954,0,7,14,379,12.105,18
93,27483,0.36999995,5,0,19,376,5.45,11
94,2772882,0.7499996,5,0,13,382,11.425,16
95,18873371,0.7499996,0,6,15,379,11.38,17
96,17713131,0.5199998,0,5,13,382,7.66,13
